code;name;fkko_code;hazard_class;description
FKKO-10000000000;ОТХОДЫ СЕЛЬСКОГО, ЛЕСНОГО ХОЗЯЙСТВА, РЫБОВОДСТВА И РЫБОЛОВСТВА;1 00 000 00 00 0;0;
FKKO-11000000000;ОТХОДЫ СЕЛЬСКОГО ХОЗЯЙСТВА;1 10 000 00 00 0;0;
FKKO-11100000000;Отходы растениеводства;1 11 000 00 00 0;0;
FKKO-11101000000;Отходы от предпосевной подготовки семян;1 11 010 00 00 0;0;
FKKO-11101011495;Семена зерновых, зернобобовых, масличных, овощных, бахчевых, корнеплодных культур непротравленные с истекшим сроком годности;1 11 010 11 49 5;5;
FKKO-11101021492;Семена зерновых, зернобобовых, масличных, овощных, бахчевых, корнеплодных культур, протравленные фунгицидами и/или инсектицидами, с истекшим сроком годности;1 11 010 21 49 2;2;
FKKO-11101100000;Отходы от предпосевной подготовки семян зерновых культур;1 11 011 00 00 0;0;
FKKO-11101111494;Семена кукурузы, протравленные инсектофунгицидами, отбракованные;1 11 011 11 49 4;4;
FKKO-11101200000;Отходы от предпосевной подготовки семян зернобобовых культур;1 11 012 00 00 0;0;
FKKO-11101300000;Отходы от предпосевной подготовки семян масличных культур;1 11 013 00 00 0;0;
FKKO-11101301494;Семена ярового рапса, протравленные инсектофунгицидами, отбракованные;1 11 013 01 49 4;4;
FKKO-11101302494;Семена озимого рапса, протравленные инсектофунгицидами, отбракованные;1 11 013 02 49 4;4;
FKKO-11101311494;Семена подсолнечника, протравленные инсектофунгицидами, отбракованные;1 11 013 11 49 4;4;
FKKO-11101400000;Отходы от предпосевной подготовки семян овощных культур;1 11 014 00 00 0;0;
FKKO-11101500000;Отходы от предпосевной подготовки семян бахчевых культур;1 11 015 00 00 0;0;
FKKO-11101600000;Отходы от предпосевной подготовки семян корнеплодных культур;1 11 016 00 00 0;0;
FKKO-11110000000;Отходы при выращивании зерновых и зернобобовых культур;1 11 100 00 00 0;0;
FKKO-11111000000;Отходы при уборке урожая зерновых и зернобобовых культур;1 11 110 00 00 0;0;
FKKO-11111001235;Мякина;1 11 110 01 23 5;5;
FKKO-11111002235;Солома;1 11 110 02 23 5;5;
FKKO-11111003235;Стебли подсолнечника;1 11 110 03 23 5;5;
FKKO-11111004235;Стебли кукурузы;1 11 110 04 23 5;5;
FKKO-11111540000;Отходы при механической обработке кукурузных початков;1 11 115 40 00 0;0;
FKKO-11111541235;Обертка кукурузных початков;1 11 115 41 23 5;5;
FKKO-11111542205;Стержни кукурузных початков;1 11 115 42 20 5;5;
FKKO-11111543405;Пленка стержневая при обмолоте початков кукурузы;1 11 115 43 40 5;5;
FKKO-11112000000;Отходы от механической очистки и сортировки зерна (зерновые отходы);1 11 120 00 00 0;0;
FKKO-11112001495;Зерноотходы твердой пшеницы;1 11 120 01 49 5;5;
FKKO-11112002495;Зерноотходы мягкой пшеницы;1 11 120 02 49 5;5;
FKKO-11112003495;Зерноотходы меслина;1 11 120 03 49 5;5;
FKKO-11112004495;Зерноотходы кукурузы;1 11 120 04 49 5;5;
FKKO-11112005495;Зерноотходы ячменя;1 11 120 05 49 5;5;
FKKO-11112006495;Зерноотходы ржи;1 11 120 06 49 5;5;
FKKO-11112007495;Зерноотходы овса;1 11 120 07 49 5;5;
FKKO-11112008495;Зерноотходы сорго;1 11 120 08 49 5;5;
FKKO-11112009495;Зерноотходы проса;1 11 120 09 49 5;5;
FKKO-11112011495;Зерноотходы гречихи;1 11 120 11 49 5;5;
FKKO-11112012495;Зерноотходы тритикале;1 11 120 12 49 5;5;
FKKO-11112013495;Зерноотходы чумизы;1 11 120 13 49 5;5;
FKKO-11112014495;Зерноотходы прочих зерновых культур;1 11 120 14 49 5;5;
FKKO-11112015495;Зерноотходы прочих зернобобовых культур (овощей бобовых сушеных);1 11 120 15 49 5;5;
FKKO-11112800000;Отходы от механической очистки и сортировки зерна в смеси;1 11 128 00 00 0;0;
FKKO-11112811495;Отходы механической очистки зерновых культур в смеси;1 11 128 11 49 5;5;
FKKO-11113000000;Отходы механической очистки семян многолетних травянистых растений;1 11 130 00 00 0;0;
FKKO-11113011495;Отходы механической очистки семян многолетних бобовых трав;1 11 130 11 49 5;5;
FKKO-11120000000;Отходы при выращивании овощей, бахчевых, корнеплодных и клубнеплодных культур;1 11 200 00 00 0;0;
FKKO-11121001235;Ботва от корнеплодов, другие подобные растительные остатки при выращивании овощей;1 11 210 01 23 5;5;
FKKO-11121002235;Ботва от корнеплодов, другие подобные растительные остатки при выращивании овощей, загрязненные землей;1 11 210 02 23 5;5;
FKKO-11130000000;Отходы при выращивании прочих однолетних культур;1 11 300 00 00 0;0;
FKKO-11131000000;Отходы при выращивании грибов;1 11 310 00 00 0;0;
FKKO-11131001235;Отходы тростника при выращивании грибов;1 11 310 01 23 5;5;
